transaction_id,customer_id,product_id,quantity,transaction_date,category,price,total_amount
1,76,16,3,2022-10-02,Sports,87.69,263.07
2,199,46,3,2022-08-03,Sports,230.1,690.3
3,143,39,4,2022-11-25,Sports,78.43,313.72
4,405,31,4,2022-09-12,Sports,468.62,1874.48
5,403,88,1,2022-05-06,Sports,439.87,439.87
6,316,1,3,2024-02-06,Books,165.97,497.90999999999997
7,93,11,2,2022-08-05,Clothing,415.3,830.6
8,473,85,3,2024-04-11,Sports,392.28,1176.84
9,417,4,2,2022-07-01,Books,485.06,970.12
10,305,71,2,2022-11-30,Books,465.82,931.64
11,224,26,1,2023-05-26,Home,106.89,106.89
12,497,50,3,2023-01-18,Books,74.13,222.39
13,291,12,2,2022-11-28,Home,218.29,436.58
14,428,95,4,2024-06-18,Electronics,220.61,882.44
15,102,81,2,2023-10-04,Books,28.86,57.72
16,474,97,4,2023-09-26,Clothing,64.5,258.0
17,267,75,4,2023-03-27,Sports,331.15,1324.6
18,355,92,3,2022-07-15,Electronics,404.88,1214.6399999999999
19,456,96,4,2023-04-03,Books,409.83,1639.32
20,110,65,2,2024-04-09,Books,343.21,686.42
21,462,47,4,2022-09-14,Books,260.22,1040.88
22,330,92,3,2022-01-09,Electronics,404.88,1214.6399999999999
23,450,53,1,2024-01-31,Books,353.82,353.82
24,430,71,2,2024-08-06,Books,465.82,931.64
25,265,2,2,2024-12-18,Home,387.87,775.74
26,3,24,3,2024-06-05,Sports,294.75,884.25
27,85,4,3,2023-01-28,Books,485.06,1455.18
28,282,19,3,2023-02-03,Home,369.52,1108.56
29,328,26,3,2022-11-27,Home,106.89,320.67
30,304,75,2,2023-04-25,Sports,331.15,662.3
31,450,40,1,2022-05-14,Sports,493.38,493.38
32,454,50,4,2024-07-04,Books,74.13,296.52
33,412,43,4,2024-07-23,Electronics,476.15,1904.6
34,117,75,1,2022-12-21,Sports,331.15,331.15
35,221,67,1,2023-08-07,Home,310.83,310.83
36,154,12,1,2023-09-17,Home,218.29,218.29
37,153,67,3,2022-10-17,Home,310.83,932.49
38,12,27,2,2024-04-04,Books,60.4,120.8
39,133,54,2,2023-09-21,Clothing,104.92,209.84
40,482,66,2,2024-10-15,Clothing,251.1,502.2
41,304,49,3,2023-09-24,Books,335.1,1005.3000000000001
42,293,16,2,2022-11-23,Sports,87.69,175.38
43,463,2,3,2022-07-29,Home,387.87,1163.6100000000001
44,300,60,2,2023-09-28,Sports,434.73,869.46
45,228,54,1,2024-05-17,Clothing,104.92,104.92
46,271,30,4,2023-03-04,Home,267.93,1071.72
47,43,84,4,2023-01-28,Sports,436.02,1744.08
48,432,38,3,2024-04-05,Home,25.58,76.74
49,343,28,2,2024-07-04,Clothing,138.53,277.06
50,326,25,4,2022-12-14,Sports,434.79,1739.16
51,302,96,1,2022-02-19,Books,409.83,409.83
52,498,10,1,2024-07-04,Books,171.82,171.82
53,364,60,1,2024-11-16,Sports,434.73,434.73
54,379,42,3,2024-08-25,Books,7.45,22.35
55,427,40,3,2024-03-10,Sports,493.38,1480.1399999999999
56,493,97,2,2024-10-13,Clothing,64.5,129.0
57,21,77,1,2023-10-11,Home,327.36,327.36
58,407,42,2,2022-10-28,Books,7.45,14.9
59,107,47,2,2022-06-15,Books,260.22,520.44
60,336,37,1,2022-11-12,Home,256.08,256.08
61,303,80,2,2022-01-01,Clothing,499.71,999.42
62,117,22,4,2024-10-16,Books,422.86,1691.44
63,124,57,3,2022-03-04,Electronics,51.48,154.44
